-0,5;0;0,5
-0,5;0;-0,5
0,5;0;0,5
0,5;0;-0,5
0,5;0;0,5
-0,5;0;-0,5
-0,5;0,09999999;-0,5
-0,5;0;-0,5
-0,5;0,09999999;0,5
-0,5;0;0,5
-0,5;0,09999999;0,5
-0,5;0;-0,5
0,5;0;-0,5
0,5;0,09999999;-0,5
0,5;0;0,5
0,5;0,09999999;0,5
0,5;0;0,5
0,5;0,09999999;-0,5
0,25;0,2;-0,5
0,25;0,2;0,5
0,375;0,2;-0,5
0,375;0,2;0,5
0,375;0,2;-0,5
0,25;0,2;0,5
-0,25;0,2;0,5
-0,375;0,2;0,5
-0,25;0,15;0,5
-0,25;0,15;0,5
-0,375;0,2;0,5
-0,25;0,09999999;0,5
-0,375;0,09999999;0,5
-0,25;0,09999999;0,5
-0,375;0,2;0,5
-0,25;0,09999999;0,5
-0,375;0,09999999;0,5
0,5;0,09999999;0,5
0,25;0,09999999;0,5
-0,25;0,09999999;0,5
0,5;0,09999999;0,5
-0,375;0,09999999;0,5
-0,5;0,09999999;0,5
0,5;0,09999999;0,5
0,5;0,09999999;0,5
-0,5;0,09999999;0,5
0,5;0;0,5
-0,5;0;0,5
0,5;0;0,5
-0,5;0,09999999;0,5
0,375;0,09999999;0,5
0,25;0,09999999;0,5
0,5;0,09999999;0,5
0,25;0,09999999;0,5
0,375;0,09999999;0,5
0,25;0,15;0,5
0,375;0,2;0,5
0,25;0,15;0,5
0,375;0,09999999;0,5
0,25;0,2;0,5
0,25;0,15;0,5
0,375;0,2;0,5
-0,375;0,2;-0,5
-0,375;0,2;0,5
-0,25;0,2;-0,5
-0,25;0,2;0,5
-0,25;0,2;-0,5
-0,375;0,2;0,5
0,25;0,2;-0,5
0,375;0,2;-0,5
0,25;0,15;-0,5
0,25;0,15;-0,5
0,375;0,2;-0,5
0,25;0,09999999;-0,5
0,375;0,09999999;-0,5
0,25;0,09999999;-0,5
0,375;0,2;-0,5
0,25;0,09999999;-0,5
0,375;0,09999999;-0,5
-0,5;0,09999999;-0,5
-0,25;0,09999999;-0,5
0,25;0,09999999;-0,5
-0,5;0,09999999;-0,5
0,375;0,09999999;-0,5
0,5;0,09999999;-0,5
-0,5;0,09999999;-0,5
-0,5;0,09999999;-0,5
0,5;0,09999999;-0,5
-0,5;0;-0,5
0,5;0;-0,5
-0,5;0;-0,5
0,5;0,09999999;-0,5
-0,375;0,09999999;-0,5
-0,25;0,09999999;-0,5
-0,5;0,09999999;-0,5
-0,25;0,09999999;-0,5
-0,375;0,09999999;-0,5
-0,25;0,15;-0,5
-0,375;0,2;-0,5
-0,25;0,15;-0,5
-0,375;0,09999999;-0,5
-0,25;0,2;-0,5
-0,25;0,15;-0,5
-0,375;0,2;-0,5
0,25;0,2;-0,5
0,25;0,15;-0,5
0,25;0,2;0,5
0,25;0,15;0,5
0,25;0,2;0,5
0,25;0,15;-0,5
-0,25;0,15;-0,5
-0,25;0,2;-0,5
-0,25;0,15;0,5
-0,25;0,2;0,5
-0,25;0,15;0,5
-0,25;0,2;-0,5
-0,5;0,2;-0,5
-0,5;0,09999999;-0,5
-0,5;0,2;0,5
-0,5;0,09999999;0,5
-0,5;0,2;0,5
-0,5;0,09999999;-0,5
0,5;0,09999999;-0,5
0,5;0,2;-0,5
0,5;0,09999999;0,5
0,5;0,2;0,5
0,5;0,09999999;0,5
0,5;0,2;-0,5
-0,5;0,2;-0,5
-0,5;0,2;0,5
-0,375;0,2;-0,5
-0,375;0,2;0,5
-0,375;0,2;-0,5
-0,5;0,2;0,5
-0,5;0,09999999;0,5
-0,375;0,09999999;0,5
-0,5;0,2;0,5
-0,375;0,2;0,5
-0,5;0,2;0,5
-0,375;0,09999999;0,5
0,5;0,09999999;-0,5
0,375;0,09999999;-0,5
0,5;0,2;-0,5
0,375;0,2;-0,5
0,5;0,2;-0,5
0,375;0,09999999;-0,5
0,375;0,2;-0,5
0,375;0,2;0,5
0,5;0,2;-0,5
0,5;0,2;0,5
0,5;0,2;-0,5
0,375;0,2;0,5
-0,375;0,09999999;-0,5
-0,5;0,09999999;-0,5
-0,375;0,2;-0,5
-0,5;0,2;-0,5
-0,375;0,2;-0,5
-0,5;0,09999999;-0,5
0,375;0,09999999;0,5
0,5;0,09999999;0,5
0,375;0,2;0,5
0,5;0,2;0,5
0,375;0,2;0,5
0,5;0,09999999;0,5
-0,25;0,15;-0,5
-0,25;0,15;0,5
0,25;0,15;-0,5
0,25;0,15;0,5
0,25;0,15;-0,5
-0,25;0,15;0,5
0,25;0,09999999;-0,5
-0,25;0,09999999;-0,5
0,25;0,15;-0,5
-0,25;0,15;-0,5
0,25;0,15;-0,5
-0,25;0,09999999;-0,5
-0,25;0,09999999;0,5
0,25;0,09999999;0,5
-0,25;0,15;0,5
0,25;0,15;0,5
-0,25;0,15;0,5
0,25;0,09999999;0,5
